Kind,Name,MaxNesting,SumCyclomatic,AvgCyclomatic,MaxCyclomatic
File,"GrowthListTest.java",0,17,1,1
File,"HashBag.java",0,4,1,1
File,"HashBagTest.java",0,4,1,1
File,"HashFunction.java",0,0,0,0
File,"HashFunctionIdentity.java",0,6,1,1
File,"HashFunctionIdentityImpl.java",0,7,1,1
File,"HashFunctionIdentityImplTest.java",0,7,1,1
File,"HashFunctionValidator.java",1,5,1,2
File,"HashFunctionValidatorTest.java",0,7,1,1
File,"HashMultiSet.java",0,4,1,1
File,"HashMultiSetTest.java",0,4,1,1
File,"HashSetValuedHashMap.java",0,8,1,1
File,"HashSetValuedHashMapTest.java",1,13,1,2
File,"HashedMap.java",0,7,1,1
File,"HashedMapTest.java",1,8,1,2
File,"Hasher.java",1,3,1,2
File,"HasherBloomFilter.java",2,15,1,4
File,"HasherBloomFilterTest.java",0,7,1,1
File,"HasherBuilderTest.java",2,9,1,3
File,"IdentityMap.java",1,16,1,3
File,"IdentityPredicate.java",1,5,1,2
File,"IfClosure.java",1,9,1,2
File,"IfTransformer.java",1,8,1,2
File,"IndexFilterTest.java",1,11,1,2
File,"IndexFilters.java",1,4,1,2
File,"IndexedCollection.java",2,31,1,5
File,"IndexedCollectionTest.java",0,18,1,1
File,"InsertCommand.java",0,2,1,1
File,"InstanceofPredicate.java",0,4,1,1
File,"InstantiateFactory.java",1,12,2,5
File,"InstantiateTransformer.java",2,14,2,6
File,"InvokerTransformer.java",1,13,2,5
File,"IterableGet.java",0,0,0,0
File,"IterableMap.java",0,0,0,0
File,"IterableSortedMap.java",0,0,0,0
File,"IterableUtils.java",3,85,1,9
File,"IterableUtilsTest.java",0,62,1,1
File,"IteratorChain.java",2,22,1,4
File,"IteratorChainTest.java",2,20,1,3
File,"IteratorEnumeration.java",0,6,1,1
File,"IteratorEnumerationTest.java",0,2,1,1
File,"IteratorIterable.java",1,9,1,2
File,"IteratorIterableTest.java",1,8,1,2
File,"IteratorUtils.java",3,109,1,14
File,"IteratorUtilsTest.java",1,208,1,3
File,"KeepCommand.java",0,2,1,1
File,"KeyAnalyzer.java",1,8,1,4
File,"KeyValue.java",0,0,0,0
File,"LRUMap.java",4,42,1,8
File,"LRUMapTest.java",3,100,1,6
File,"LaTeXML.css",0,0,0,0
File,"LazyIteratorChain.java",2,9,2,5
File,"LazyIteratorChainTest.java",2,28,1,4
File,"LazyList.java",2,14,2,4
File,"LazyListTest.java",0,17,1,1
File,"LazyMap.java",1,8,1,2
File,"LazyMapTest.java",0,6,1,1
File,"LazySortedMap.java",0,11,1,1
File,"LazySortedMapTest.java",0,14,1,1
File,"LinkedMap.java",2,33,1,3
File,"LinkedMapTest.java",1,43,1,7
File,"ListIteratorWrapper.java",2,26,2,4
File,"ListIteratorWrapper2Test.java",1,15,1,6
File,"ListIteratorWrapperTest.java",1,16,1,6
File,"ListOrderedMap.java",2,99,1,6
File,"ListOrderedMap2Test.java",1,38,1,7
File,"ListOrderedMapTest.java",1,73,1,7
File,"ListOrderedSet.java",2,42,1,4
File,"ListOrderedSet2Test.java",1,14,2,7
File,"ListOrderedSetTest.java",1,34,1,7
File,"ListUtils.java",3,65,1,6
File,"ListUtilsTest.java",1,60,1,2
File,"ListValuedMap.java",0,0,0,0
File,"LoopingIterator.java",1,8,1,3
File,"LoopingIteratorTest.java",0,11,1,1
File,"LoopingListIterator.java",2,22,1,4
File,"LoopingListIteratorTest.java",0,19,1,1
File,"MD5Cyclic.java",1,9,1,2
File,"MD5CyclicTest.java",0,2,1,1
File,"MapBackedSet.java",1,20,1,2
File,"MapBackedSet2Test.java",1,13,2,7
File,"MapBackedSetTest.java",0,3,1,1
File,"MapIterator.java",0,0,0,0
File,"MapPerformance.java",1,16,1,2
File,"MapTransformer.java",1,5,1,2
File,"MapUtils.java",4,161,1,11
File,"MapUtilsTest.java",1,136,1,3
File,"MockTestCase.java",2,8,1,3
File,"MultiKey.java",2,30,1,5
File,"MultiKeyMap.java",2,106,2,7
File,"MultiKeyMapTest.java",2,49,1,6
File,"MultiKeyTest.java",0,32,1,1
File,"MultiMap.java",0,0,0,0
File,"MultiMapUtils.java",2,20,1,3
